D: 1.39030313, G: 1.45079017, G_cls: 0.69146782
D: 1.39786375, G: 1.23406506, G_cls: 0.74841261
D: 1.43260586, G: 1.27158225, G_cls: 0.67300725
D: 1.35574079, G: 1.10889089, G_cls: 0.64075804
D: 1.38568842, G: 1.16718483, G_cls: 0.69155157
D: 1.34167647, G: 1.19280660, G_cls: 0.69603920
D: 1.49677408, G: 1.02809989, G_cls: 0.64978141
D: 1.40435112, G: 1.03408265, G_cls: 0.62281895
D: 1.49419785, G: 1.19533396, G_cls: 0.70359451
D: 1.39571095, G: 1.09544849, G_cls: 0.66836661
D: 1.25204611, G: 1.07259536, G_cls: 0.64903504
D: 1.41558707, G: 1.11595225, G_cls: 0.68937510
D: 1.39434946, G: 1.17203522, G_cls: 0.68623799
D: 1.46495914, G: 1.24294567, G_cls: 0.70245725
D: 1.29352617, G: 1.10726929, G_cls: 0.69448107
D: 1.49485660, G: 1.09540892, G_cls: 0.72360373
D: 1.38700187, G: 1.15684485, G_cls: 0.70257223
D: 1.38412595, G: 1.40022373, G_cls: 0.73628706
D: 1.29974425, G: 1.25203001, G_cls: 0.71204680
D: 1.47325385, G: 1.21292007, G_cls: 0.69749779
D: 1.41043878, G: 1.19497585, G_cls: 0.77880824
D: 1.47720492, G: 1.16901445, G_cls: 0.69849002
D: 1.43421197, G: 1.07237935, G_cls: 0.64218146
D: 1.36630571, G: 1.12268651, G_cls: 0.64375520
D: 1.35408604, G: 1.20502377, G_cls: 0.75757301
D: 1.33800292, G: 1.03918052, G_cls: 0.65827543
D: 1.49014533, G: 1.15322578, G_cls: 0.63109189
D: 1.35676742, G: 1.11567914, G_cls: 0.68399495
D: 1.45710826, G: 1.06913114, G_cls: 0.69018757
D: 1.44735789, G: 1.05652678, G_cls: 0.64173728
D: 1.38105917, G: 1.26167107, G_cls: 0.68912584
D: 1.43078077, G: 1.11403835, G_cls: 0.71151447
D: 1.36836743, G: 1.12582636, G_cls: 0.69028986
D: 1.42703605, G: 1.13229883, G_cls: 0.69320643
D: 1.46690845, G: 1.20062542, G_cls: 0.73190880
D: 1.32531726, G: 1.19823861, G_cls: 0.65885240
D: 1.40384221, G: 1.10409665, G_cls: 0.66873580
D: 1.45996392, G: 1.13965440, G_cls: 0.69371212
D: 1.45762956, G: 1.19384491, G_cls: 0.73836297
D: 1.44733953, G: 1.07924402, G_cls: 0.68806100
D: 1.38083935, G: 1.10754776, G_cls: 0.70440137
D: 1.42734134, G: 1.04014575, G_cls: 0.63316476
D: 1.41525435, G: 1.00703073, G_cls: 0.64179164
D: 1.46773922, G: 1.06109083, G_cls: 0.66344053
D: 1.43000615, G: 1.13238537, G_cls: 0.70538801
D: 1.44027245, G: 1.17894578, G_cls: 0.75006235
D: 1.41095877, G: 1.40983725, G_cls: 0.64579010
D: 1.36509252, G: 1.21484196, G_cls: 0.65758431
D: 1.41940951, G: 1.16817415, G_cls: 0.68856394
D: 1.42629981, G: 1.12304616, G_cls: 0.67456609
D: 1.32518733, G: 1.15231204, G_cls: 0.64397490
D: 1.42094350, G: 1.18658078, G_cls: 0.69128942
D: 1.30302703, G: 1.18635297, G_cls: 0.74625242
D: 1.51029623, G: 1.15006673, G_cls: 0.68133056
D: 1.45249200, G: 1.08618033, G_cls: 0.62663448
D: 1.40368974, G: 1.11697841, G_cls: 0.69202596
D: 1.35728574, G: 1.14713383, G_cls: 0.71198863
D: 1.37187743, G: 1.17254412, G_cls: 0.75707799
D: 1.36815476, G: 1.15487111, G_cls: 0.71941727
D: 1.38556242, G: 1.26749730, G_cls: 0.67409199
D: 1.39893019, G: 1.04482174, G_cls: 0.65590477
D: 1.45263040, G: 1.09558988, G_cls: 0.70406789
D: 1.31302130, G: 1.15326154, G_cls: 0.69913542
D: 1.33015823, G: 1.10405624, G_cls: 0.70345521
